Date,Sell,Buy Back
2020-09-01,932000,912000
2020-09-02,932000,912000
2020-09-03,932000,912000
2020-09-04,932000,912000
2020-09-05,932000,912000
2020-09-06,932000,912000
2020-09-07,932000,912000
2020-09-08,932000,912000
2020-09-09,932000,912000
2020-09-10,932000,912000
2020-09-11,932000,912000
2020-09-12,932000,912000
2020-09-13,932000,912000
2020-09-14,932000,912000
2020-09-15,932000,912000
2020-09-16,932000,912000
2020-09-17,932000,912000
2020-09-18,932000,912000
2020-09-19,932000,912000
2020-09-20,932000,912000
2020-09-21,932000,912000
2020-09-22,932000,912000
2020-09-23,932000,912000
2020-09-24,932000,912000
2020-09-25,932000,912000
2020-09-26,932000,912000
2020-09-27,932000,912000
2020-09-28,932000,912000
2020-09-29,912000,892000
2020-09-30,912000,892000
